ID,ID-Admin,Name,Address,Location,Price,Cuisine,Longitude,Latitude,delivery,online
MIC-012599,ADM-000001,Nives,"via Nives 4, Selva di Val Gardena, 39048, Italy","Selva di Val Gardena, Italy",€€,"Modern Cuisine, Contemporary",126170.42.00,92730.53.00,sì,sì
MIC-012600,ADM-000001,Ratanà,"via G. de Castillia 28, Milan, 20124, Italy","Milan, Italy",€€,"Italian, Classic Cuisine",32191.45.00,81002.52.00,no,no
MIC-012601,ADM-000001,Soho,"via al Ponte Calvi 20 r, Genoa, 16124, Italy","Genoa, Italy",€€,"Seafood, Contemporary",15488.15.00,730.27.00,sì,sì
MIC-012602,ADM-000001,Al Dragone,"via Duomo 8, Vieste, 71019, Italy","Vieste, Italy",€€,"Apulian, Modern Cuisine",30196.22.00,147001.11.00,no,no
MIC-012603,ADM-000001,Scrigno del Duomo,"piazza Duomo 29, Trento, 38122, Italy","Trento, Italy",€€,Modern Cuisine,20173.43.00,11285.12.00,sì,sì
MIC-012604,ADM-000001,L'Osteria dell'Orologio,"via di Torre Clementina 114, Fiumicino, 00054, Italy","Fiumicino, Italy",€€€,"Seafood, Creative",38406.15.00,128611.17.00,no,no
MIC-012605,ADM-000001,Di Martino Sea Front Pasta Bar,"piazza Municipio 1, Naples, 80133, Italy","Naples, Italy",€€,Italian,41970.17.00,139982.44.00,sì,sì
MIC-012606,ADM-000001,Li Jalantuùmene,"piazza de Galganis 9, Monte Sant'Angelo, 71037, Italy","Monte Sant'Angelo, Italy",€€€,"Apulian, Modern Cuisine",15939.21.00,117893.37.00,no,no
MIC-012607,ADM-000001,Osteria Vecchia Noce,"Località Noce 39, Vicopisano, 56010, Italy","Vicopisano, Italy",€€,"Tuscan, Classic Cuisine",88908.12.00,115163.13.00,sì,sì
MIC-012608,ADM-000001,Bel Ami,"via Roma 86, Maglie, 73024, Italy","Maglie, Italy",€€,"Seafood, Italian Contemporary",49537.16.00,20620.31.00,no,no
MIC-012609,ADM-000001,LPV Ristorante & Bistrot,"riva degli Schiavoni, sestiere Castello 4171, Venice, 30122, Italy","Venice, Italy",€€€,Classic Cuisine,57292.45.00,72380.32.00,sì,sì
MIC-012610,ADM-000001,Alpenrose,"via delle Sette Chiese 1, loc. Pinzago, Brixen, 39042, Italy","Brixen, Italy",€€,"Regional Cuisine, Classic Cuisine",106512.22.00,11819.02.00,no,no
MIC-012611,ADM-000001,Il Molo,"via Falcone Borsellino 2, San Leone, 92100, Italy","San Leone, Italy",€€,"Sicilian, Classic Cuisine",96493.59.00,43896.46.00,sì,sì
MIC-012612,ADM-000001,Vecchia Sorni,"piazza Assunta 40, Sorni, 38015, Italy","Sorni, Italy",€€,"Regional Cuisine, Italian Contemporary",20602.47.00,28749.12.00,no,no
MIC-012613,ADM-000001,Alessandro Mecca al Castello di Grinzane Cavour,"via Castello 5, Grinzane Cavour, 12060, Italy","Grinzane Cavour, Italy",€€€,Modern Cuisine,165897.23.00,108931.48.00,sì,sì
MIC-012614,ADM-000001,Albergaccio di Castellina,"via Fiorentina 63, Castellina in Chianti, 53011, Italy","Castellina in Chianti, Italy",€€,"Tuscan, Modern Cuisine",477.34.00,831.18.00,no,no
MIC-012615,ADM-000001,La Capuccina,"via Novara 19/b, località Capuccina, Cureggio, 28060, Italy","Cureggio, Italy",€€,"Piedmontese, Italian Contemporary",77049.12.00,112299.48.00,sì,sì
MIC-012616,ADM-000001,La Corte,"via Roma 24, Follina, 31051, Italy","Follina, Italy",€€€,"Modern Cuisine, Contemporary",19711.35.00,158800.39.00,no,no
MIC-012617,ADM-000001,Cucina,"Via Giano della Bella 3r, Florence, 50124, Italy","Florence, Italy",€€,"Tuscan, Home Cooking",40033.25.00,127510.54.00,sì,sì
MIC-012618,ADM-000001,Casamare,"corso Giuseppe Garibaldi 214, Salerno, 84121, Italy","Salerno, Italy",€€€,"Seafood, Contemporary",127359.43.00,11320.59.00,no,no
MIC-012619,ADM-000001,Koinè,"vicolo Filippo Corridoni 2/c, Legnano, 20025, Italy","Legnano, Italy",€€€,"Contemporary, Italian Contemporary",153242.41.00,98905.37.00,sì,sì
MIC-012620,ADM-000001,Dina,"via Santa Croce 1, Gussago, 25064, Italy","Gussago, Italy",€€€,"Contemporary, Modern Cuisine",26045.01.00,97355.33.00,no,no
MIC-012621,ADM-000001,Sogno,"via Porto San Felice 41, San Felice del Benaco, 25010, Italy","San Felice del Benaco, Italy",€€€,"Modern Cuisine, Mediterranean Cuisine",935.25.00,1011.59.00,sì,sì
MIC-012622,ADM-000001,Trattoria al Pompiere,"vicolo Regina d'Ungheria 5, Verona, 37121, Italy","Verona, Italy",€€,"Venetian, Classic Cuisine",166330.56.00,73697.53.00,no,no
MIC-012623,ADM-000001,Villa De Winckels,"via Sorio 30, località Marcemigo, Tregnago, 37039, Italy","Tregnago, Italy",€€,"Venetian, Classic Cuisine",25595.34.00,8724.43.00,sì,sì
MIC-012624,ADM-000001,Beccaccino,"via Boschetto 49, Sorico, 22010, Italy","Sorico, Italy",€€,Mediterranean Cuisine,65563.57.00,28058.18.00,no,no
MIC-012625,ADM-000001,Antico Albergo,"via Dante Alighieri 18, Limito, 20096, Italy","Limito, Italy",€€,"Italian, Classic Cuisine",54992.04.00,8080.27.00,sì,sì
MIC-012626,ADM-000001,Dodici Fontane,"contrada Arrigo, Linguaglossa, 95015, Italy","Linguaglossa, Italy",€€€€,"Modern Cuisine, Creative",2123.55.00,13824.28.00,no,no
MIC-012627,ADM-000001,Tana de 'l Ors,"via Roma 28, Forno di Zoldo, 32012, Italy","Forno di Zoldo, Italy",€€,"Modern Cuisine, Farm to table",29766.09.00,57730.48.00,sì,sì
MIC-012628,ADM-000001,Terrazza Danieli,"riva degli Schiavoni, sestiere Castello 4196, Venice, 30122, Italy","Venice, Italy",€€€€,Mediterranean Cuisine,57028.12.00,7276.09.00,no,no
MIC-012629,ADM-000001,Il Ridotto,"campo S.S. Filippo e Giacomo, sestiere Castello 4509, Venice, 30122, Italy","Venice, Italy",€€€,"Contemporary, Meats and Seafood",56958.01.00,72570.01.00,sì,sì
MIC-012630,ADM-000001,Camana Veglia,"via Ostaria 583, Livigno, 23041, Italy","Livigno, Italy",€€€,"Modern Cuisine, Country cooking",23190.14.00,9159.27.00,no,no
